condition,round,semdis,id
treatment,2,1.10334,ego_trt_62
treatment,2,1.03307,ego_trt_63
treatment,2,1.02085,ego_trt_64
treatment,2,1.05593,ego_trt_65
treatment,2,1.01723,ego_trt_66
treatment,2,1.06424,ego_trt_67
treatment,2,1.02258,ego_trt_68
treatment,2,1.11439,ego_trt_69
treatment,2,1.14524,ego_trt_70
treatment,2,1.01195,ego_trt_71
treatment,2,1.04688,ego_trt_72
treatment,2,1.04004,ego_trt_73
treatment,2,1.01901,ego_trt_74
treatment,2,1.06693,ego_trt_75
treatment,2,1.05825,ego_trt_76
treatment,2,1.14116,ego_trt_77
treatment,2,1.13999,ego_trt_78
treatment,2,1.05018,ego_trt_79
treatment,2,1.07783,ego_trt_80
treatment,2,0.9935,ego_trt_81
treatment,2,0.99173,ego_trt_82
treatment,2,1.02863,ego_trt_83
treatment,2,0.977,ego_trt_84
treatment,2,1.05052,ego_trt_85
treatment,2,0.977,ego_trt_86
treatment,2,1.06023,ego_trt_87
treatment,2,0.9971,ego_trt_88
treatment,2,1.06418,ego_trt_89
treatment,2,1.02087,ego_trt_90
treatment,2,1.06291,ego_trt_91
treatment,2,1.00091,ego_trt_92
treatment,2,1.11477,ego_trt_93
treatment,2,1.10027,ego_trt_94
treatment,2,1.01937,ego_trt_95
treatment,2,1.04886,ego_trt_96
treatment,2,1.09087,ego_trt_97
treatment,2,1.07887,ego_trt_98
treatment,2,1.07488,ego_trt_99
treatment,2,1.04658,ego_trt_100
treatment,2,1.09272,ego_trt_101
treatment,2,1.08401,ego_trt_102
treatment,2,1.02554,ego_trt_103
treatment,2,1.03879,ego_trt_104
treatment,2,1.0506,ego_trt_105
treatment,2,1.01481,ego_trt_106
treatment,2,1.09123,ego_trt_107
treatment,2,1.02937,ego_trt_108
treatment,2,1.09802,ego_trt_109
treatment,2,0.98331,ego_trt_110
treatment,2,1.0345,ego_trt_111
treatment,2,1.07485,ego_trt_112
treatment,2,0.98575,ego_trt_113
treatment,2,1.10592,ego_trt_114
treatment,2,1.0294,ego_trt_115
treatment,2,1.05707,ego_trt_116
treatment,2,1.1127,ego_trt_117
treatment,2,1.04043,ego_trt_118
treatment,2,1.11388,ego_trt_119
treatment,2,1.0206,ego_trt_120
treatment,2,0.95122,ego_trt_121
treatment,2,1.08329,ego_trt_122
treatment,2,0.95857,ego_trt_123
treatment,2,1.06849,ego_trt_124
treatment,2,1.04775,ego_trt_125
treatment,2,1.01893,ego_trt_126
treatment,2,1.00109,ego_trt_127
treatment,2,0.97397,ego_trt_128
treatment,2,1.10592,ego_trt_129
treatment,2,1.08329,ego_trt_130
treatment,2,1.06119,ego_trt_131
treatment,2,1.00065,ego_trt_132
treatment,2,1.08726,ego_trt_133
treatment,2,0.9566,ego_trt_134
treatment,2,1.15757,ego_trt_135
treatment,2,1.05821,ego_trt_136
treatment,2,1.00248,ego_trt_137
treatment,2,1.0869,ego_trt_138
treatment,2,1.08916,ego_trt_139
treatment,2,1.0396,ego_trt_140
treatment,2,1.0608,ego_trt_141
treatment,2,0.98508,ego_trt_142
treatment,2,1.08873,ego_trt_143
treatment,2,1.09227,ego_trt_144
treatment,2,1.07462,ego_trt_145
treatment,2,1.08216,ego_trt_146
treatment,2,1.0715,ego_trt_147
treatment,2,1.04775,ego_trt_148
treatment,2,0.96518,ego_trt_149
treatment,2,1.03863,ego_trt_150
treatment,2,1.02337,ego_trt_151
treatment,2,1.00615,ego_trt_152
treatment,2,1.026,ego_trt_153
treatment,2,1.13588,ego_trt_154
treatment,2,1.00861,ego_trt_155
treatment,2,1.08133,ego_trt_156
treatment,2,1.12813,ego_trt_157
treatment,2,1.02218,ego_trt_158
treatment,2,1.02099,ego_trt_159
treatment,2,1.08494,ego_trt_160
treatment,2,1.02218,ego_trt_161
treatment,2,1.19204,ego_trt_162
treatment,2,1.00157,ego_trt_163
treatment,2,1.06325,ego_trt_164
treatment,2,1.08133,ego_trt_165
treatment,2,1.04961,ego_trt_166
treatment,2,1.04151,ego_trt_167
treatment,2,1.09802,ego_trt_168
treatment,2,1.01784,ego_trt_169
treatment,2,1.0345,ego_trt_170
treatment,2,1.06171,ego_trt_171
treatment,2,1.06789,ego_trt_172
treatment,2,1.00855,ego_trt_173
treatment,2,1.08133,ego_trt_174
treatment,2,1.03068,ego_trt_175
treatment,2,1.15757,ego_trt_176
treatment,2,1.04151,ego_trt_177
treatment,2,1.07444,ego_trt_178
treatment,2,0.99875,ego_trt_179
treatment,2,1.12138,ego_trt_180
control,3,0.98623,ego_ctrl_1
control,3,0.99325,ego_ctrl_2
control,3,1.1232,ego_ctrl_3
control,3,1.01276,ego_ctrl_4
control,3,0.98082,ego_ctrl_5
control,3,0.8811,ego_ctrl_6
control,3,1.03793,ego_ctrl_7
control,3,1.0285,ego_ctrl_8
control,3,1.03921,ego_ctrl_9
control,3,0.95759,ego_ctrl_10
control,3,1.13292,ego_ctrl_11
control,3,1.02554,ego_ctrl_12
control,3,1.01039,ego_ctrl_13
control,3,0.98044,ego_ctrl_14
control,3,0.9515,ego_ctrl_15
control,3,1.00156,ego_ctrl_16
control,3,0.98446,ego_ctrl_17
control,3,0.89659,ego_ctrl_18
control,3,1.10421,ego_ctrl_19
control,3,1.03517,ego_ctrl_20
control,3,1.05768,ego_ctrl_21
control,3,0.95457,ego_ctrl_22
control,3,0.97286,ego_ctrl_23
control,3,1.08015,ego_ctrl_24
control,3,1.11367,ego_ctrl_25
control,3,0.96374,ego_ctrl_26
