condition,round,cq,id
control,2,5.328248540315038,ego_ctrl_56
control,2,8.846132900938278,ego_ctrl_57
control,2,1.495071011,ego_ctrl_58
control,2,8.015610999,ego_ctrl_59
control,2,8.885167661,ego_ctrl_60
control,2,10.162638401096356,ego_ctrl_61
control,2,6.322813649578218,ego_ctrl_62
control,2,5.388742947,ego_ctrl_63
control,2,6.866954539757238,ego_ctrl_64
control,2,8.231941608215019,ego_ctrl_65
control,2,10.011423818178194,ego_ctrl_66
control,2,7.305830826847206,ego_ctrl_67
control,2,10.627288624260087,ego_ctrl_68
control,2,7.27305183,ego_ctrl_69
control,2,8.036591682192967,ego_ctrl_70
control,2,8.398549723104487,ego_ctrl_71
control,2,4.192764236874044,ego_ctrl_72
control,2,7.055907506169534,ego_ctrl_73
control,2,18.62132175539713,ego_ctrl_74
control,2,5.486191890415638,ego_ctrl_75
control,2,8.236197636,ego_ctrl_76
control,2,7.641639347346621,ego_ctrl_77
control,2,5.150632082213956,ego_ctrl_78
control,2,9.874957251,ego_ctrl_79
control,2,8.791211229527383,ego_ctrl_80
control,2,6.017322911159934,ego_ctrl_81
control,2,5.374756310963932,ego_ctrl_82
control,2,6.053347079525999,ego_ctrl_83
control,2,5.190597446596133,ego_ctrl_84
control,2,9.061957288,ego_ctrl_85
control,2,6.622675124539656,ego_ctrl_86
control,2,6.048239043233673,ego_ctrl_87
control,2,7.377990322865166,ego_ctrl_88
control,2,10.22654175,ego_ctrl_89
control,2,5.571705005398437,ego_ctrl_90
control,2,7.598588810313094,ego_ctrl_91
control,2,16.465330740338374,ego_ctrl_92
control,2,4.122874062324119,ego_ctrl_93
control,2,9.077530801,ego_ctrl_94
control,2,6.239088682371335,ego_ctrl_95
control,2,8.715905255735638,ego_ctrl_96
control,2,10.940912948233333,ego_ctrl_97
control,2,8.169079138947954,ego_ctrl_98
control,2,4.007855678047791,ego_ctrl_99
control,2,8.342029714138588,ego_ctrl_100
control,2,5.943308879992778,ego_ctrl_101
control,2,11.94365301582864,ego_ctrl_102
control,2,4.730209081316179,ego_ctrl_103
control,2,7.727250235301267,ego_ctrl_104
control,2,7.811746251124361,ego_ctrl_105
control,2,3.848404337885985,ego_ctrl_106
control,2,7.697043566887164,ego_ctrl_107
control,2,4.754509065499715,ego_ctrl_108
control,2,8.754491354884893,ego_ctrl_109
control,2,4.761620525980787,ego_ctrl_110
control,2,5.171648400647546,ego_ctrl_111
control,2,4.646356984334348,ego_ctrl_112
control,2,9.493062180054954,ego_ctrl_113
control,2,6.533538966582386,ego_ctrl_114
control,2,6.913855321,ego_ctrl_115
control,2,6.614178941846799,ego_ctrl_116
control,2,6.1967447624086915,ego_ctrl_117
control,2,7.385260551260654,ego_ctrl_118
control,2,12.074278626875348,ego_ctrl_119
control,2,5.829504379868187,ego_ctrl_120
control,2,7.662626859007485,ego_ctrl_121
control,2,7.671100138090844,ego_ctrl_122
control,2,5.6920433748332355,ego_ctrl_123
control,2,8.822555409,ego_ctrl_124
control,2,6.419176759883715,ego_ctrl_125
control,2,5.563781243603602,ego_ctrl_126
control,2,4.246411764511594,ego_ctrl_127
control,2,7.1102948598226146,ego_ctrl_128
control,2,7.719093139938904,ego_ctrl_129
control,2,5.007632011601475,ego_ctrl_130
control,2,7.253309790250613,ego_ctrl_131
control,2,7.387815143535898,ego_ctrl_132
control,2,4.305891874827076,ego_ctrl_133
control,2,8.954154566169349,ego_ctrl_134
control,2,6.096937629334775,ego_ctrl_135
control,2,4.274430221,ego_ctrl_136
control,2,6.774883199836548,ego_ctrl_137
control,2,4.696425796,ego_ctrl_138
control,2,5.833256379204372,ego_ctrl_139
control,2,3.608294121786761,ego_ctrl_140
control,2,10.235810504160764,ego_ctrl_141
control,2,9.755901952942322,ego_ctrl_142
control,2,6.4059474045411235,ego_ctrl_143
control,2,5.441639147478499,ego_ctrl_144
control,2,5.6831706113041385,ego_ctrl_145
control,2,4.287220332248836,ego_ctrl_146
