condition,networksize,gini
control,2,0.16666666666666666
control,3,0
control,4,0.083333333
control,5,0.13333333333333333
control,6,0.16666666666666666
control,7,0.32142857142857145
control,8,0.3125
control,9,0.3333333333333333
control,10,0.36
control,11,0.3454545454545454
control,12,0.4027777777777778
control,13,0.34615384615384615
control,14,0.36904761904761907
control,15,0.3888888888888889
control,16,0.3854166666666667
control,17,0.38235294117647056
control,18,0.37037037037037035
control,1,0
control,2,0.16666666666666666
control,3,0
control,4,0.083333333
control,5,0.13333333333333333
control,6,0.16666666666666666
control,7,0.32142857142857145
control,8,0.3125
control,9,0.3333333333333333
control,10,0.36
control,11,0.309090909
control,12,0.375
control,13,0.2948717948717949
control,14,0.32142857142857145
control,15,0.34444444444444444
control,16,0.34375
control,17,0.3137254901960784
control,18,0.2962962962962963
control,1,0
control,2,0.16666666666666666
control,3,0.2222222222222222
control,4,0.25
control,5,0.26666666666666666
control,6,0.2777777777777778
control,7,0.19047619047619047
control,8,0.16666666666666666
control,9,0.18518518518518517
control,10,0.4
control,11,0.309090909
control,12,0.375
control,13,0.3076923076923077
control,14,0.3333333333333333
control,15,0.34444444444444444
control,16,0.3333333333333333
control,17,0.3431372549019608
control,18,0.35185185185185186
control,1,0
control,2,0.16666666666666666
control,3,0.2222222222222222
control,4,0.25
control,5,0.26666666666666666
control,6,0.2777777777777778
control,7,0.19047619047619047
control,8,0.16666666666666666
control,9,0.18518518518518517
control,10,0.4
control,11,0.309090909
control,12,0.375
control,13,0.3076923076923077
control,14,0.3333333333333333
control,15,0.34444444444444444
control,16,0.3333333333333333
control,17,0.3431372549019608
control,18,0.3333333333333333
control,1,0
control,2,0
control,3,0.16666666666666666
control,4,0.1875
control,5,0.25
control,6,0.26666666666666666
control,7,0.3142857142857143
control,8,0.275
control,9,0.2962962962962963
control,10,0.3333333333333333
control,11,0.36363636363636365
control,12,0.3472222222222222
control,13,0.3717948717948718
control,14,0.35714285714285715
control,15,0.36666666666666664
control,16,0.3645833333333333
control,17,0.37254901960784315
control,18,0.3148148148148148
control,1,0
control,2,0
control,3,0.16666666666666666
control,4,0.1875
control,5,0.25
control,6,0.26666666666666666
control,7,0.3142857142857143
control,8,0.325
control,9,0.37037037037037035
control,10,0.38333333333333336
control,11,0.4090909090909091
control,12,0.4027777777777778
control,13,0.41025641025641024
control,14,0.35714285714285715
